source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
Phontong,Donkoi,115,115,2420,211,211,115,0.3648,5.216640000000001,2535
Phontong,NongKhai,115,115,1978,422,422,115,0.3648,12.768,1035
Phontong,Thanaleng,115,115,2308,211,211,115,0.3648,5.472,2416
Phrae,Uttaradit,115,115,1413,422,422,115,0.3648,17.8752,739
Phuket3,Phuket1,115,115,6109,633,633,115,0.3648,6.2016,2132
Phuket3,Phuket2,115,115,6109,633,633,115,0.3648,6.2016,2132
PrachinBuri2,SimahaPhot,115,115,4327,422,422,115,0.3648,5.8368,2265
PrachinBuri2,WatthanaNakhon,115,115,1066,422,422,115,0.3648,23.712,557
PrachuapKhiriKhan,BangSaphan,115,115,753,422,422,115,0.3648,33.5616,394
PranBuri,PrachuapKhiriKhan,115,115,567,211,211,115,0.3648,22.2528,594
PTTOlefins,Rayong3,115,115,3147,211,211,115,0.3648,4.0128,3295
RajjaprabhaDam,Pangnga2,115,115,1551,633,633,115,0.3648,24.4416,541
RajjaprabhaDam,SuratThani,230,230,6756,844,844,230,0.3648,14.956800000000001,3536
Rangsit,ChaengWatthana,500,500,32097,6962,6962,500,0.2326,14.8864,16793
Ranong,TakuaPa,115,115,333,211,211,115,0.3648,37.9392,348
Ratchaburi1,BanPong1,115,115,865,211,211,115,0.3648,14.592,906
Ratchaburi1,Ratchaburi2,115,115,2308,422,422,115,0.3648,10.944,1208
Ratchaburi1,SamutSongkhram,115,115,1018,211,211,115,0.3648,12.4032,1066
Ratchaburi2,BanPong2,230,230,3746,844,844,230,0.3648,26.9952,1959
Ratchaburi2,HuaHin,230,230,2951,844,844,230,0.3648,34.2912,1542
Ratchaburi2,Ratchaburi3,230,230,7103,844,844,230,0.3648,14.2272,3718
Ratchaburi3,SamPhran1,230,230,8146,422,422,230,0.3648,6.2016,8530
Ratchaburi3,SamutSakhon1,115,115,4616,422,422,115,0.3648,5.472,2416
Ratchaburi3,SamutSakhon3,230,230,8146,422,422,230,0.3648,6.2016,8530
