source,sink,susceptance,line_cap,source_kv,sink_kv,n_circuits,distance,n_conductors
Rayongu2,Rayong,1,9999,750,750,2,1,4
Rayongu3,Rayong,1,9999,750,750,2,1,4
MuangCogen1No1,Rangsit,1,9999,750,750,2,1,4
GlowSppPhase4No3,Rayong,1,9999,750,750,2,1,4
Blcp1,Rayong1,1,9999,750,750,2,1,4
Blcp2,Rayong1,1,9999,750,750,2,1,4
RayongSipcoSc1,Rayong2,1,9999,750,750,2,1,4
EasternSugar3,Sadao,1,9999,750,750,2,1,4
MgpMahachaiGreen1,SamutSakhon1,1,9999,750,750,2,1,4
NongSaeng1Gt1,Saraburi2,1,9999,750,750,2,1,4
TpiPower1,Saraburi1,1,9999,750,750,2,1,4
NongSaeng1Gt2,Saraburi3,1,9999,750,750,2,1,4
GreEnergy1,Songkhla,1,9999,750,750,2,1,4
Chanau1,Songkhla,1,9999,750,750,2,1,4
Chanau2,Songkhla,1,9999,750,750,2,1,4
HatYaiGidec1,Songkhla,1,9999,750,750,2,1,4
Chana1Sc1,Songkhla,1,9999,750,750,2,1,4
MitrKasetrSugar1,Rangsit,1,9999,750,750,2,1,4
Southbangkoku1,SouthBangkok,1,9999,750,750,2,1,4
Southbangkoku2,SouthBangkok,1,9999,750,750,2,1,4
Southbangkoku3,SouthBangkok,1,9999,750,750,2,1,4
SouthBangkok1,SouthBangkok,1,9999,750,750,2,1,4
SouthBangkokCc3Sc1,SouthBangkok,1,9999,750,750,2,1,4
Sriracharefineryu1,SrirachaRefinery,1,9999,750,750,2,1,4
SrirachaRefineryTocS4,SrirachaRefinery,1,9999,750,750,2,1,4
MitrBiopowerDanChang2,SuphanBuri,1,9999,750,750,2,1,4
AmphurBiomass1,SuratThani,1,9999,750,750,2,1,4
UdonThaniGt2,UdonThani1,1,9999,750,750,2,1,4
Wangnoiu1,WangNoi,1,9999,750,750,2,1,4
Wangnoiu2,WangNoi,1,9999,750,750,2,1,4
Wangnoiu3,WangNoi,1,9999,750,750,2,1,4
Wangnoiu4,WangNoi,1,9999,750,750,2,1,4
NorthBangkok2Sc1,NorthBangkok,1,9999,750,750,2,1,4
304Ipnppa9U1,304IPNPPA9,1,9999,750,750,2,1,4
304Ipnppa9U2,304IPNPPA9,1,9999,750,750,2,1,4
Hongsaligniteu1,HongsaLignite,1,9999,750,750,2,1,4
Hongsaligniteu2,HongsaLignite,1,9999,750,750,2,1,4
Hongsaligniteu3,HongsaLignite,1,9999,750,750,2,1,4
KhonKaenSugarPower1,KhonKaen1,1,9999,750,750,2,1,4
NamPhong1Sc1,KhonKaen3,1,9999,750,750,2,1,4
Maemohu4,MaeMoh3,1,9999,750,750,2,1,4
Maemohu5,MaeMoh3,1,9999,750,750,2,1,4
Maemohu6,MaeMoh3,1,9999,750,750,2,1,4
Maemohu7,MaeMoh3,1,9999,750,750,2,1,4
Maemohu10,MaeMoh3,1,9999,750,750,2,1,4
Maemohu11,MaeMoh3,1,9999,750,750,2,1,4
Maemohu12,MaeMoh3,1,9999,750,750,2,1,4
Maemohu13,MaeMoh3,1,9999,750,750,2,1,4
Maemohu8,MaeMoh3,1,9999,750,750,2,1,4
Maemohu9,MaeMoh3,1,9999,750,750,2,1,4
BuaYai1,NakhonRatchasima1,1,9999,750,750,2,1,4
Namphong2U1,NamPhong2,1,9999,750,750,2,1,4
PrachinBuriMill2,PrachinBuri1,1,9999,750,750,2,1,4
PrachinBuriIpc1,PrachinBuri2,1,9999,750,750,2,1,4
ThaTum1,PrachinBuri2,1,9999,750,750,2,1,4
NongSaeng2Sc0,Saraburi2,1,9999,750,750,2,1,4
NongSaeng2Sc1,Saraburi2,1,9999,750,750,2,1,4
Uwckomen,UWCKomen,1,9999,750,750,2,1,4
Baanrai,BaanRai,1,9999,750,750,2,1,4
Bangmunnak,BangMunNak,1,9999,750,750,2,1,4
Mitrbiopower,MitrBiopower,1,9999,750,750,2,1,4
Panomsarakhammill,304IPNPPA9,1,9999,750,750,2,1,4
KrungThaiMill1,Kanchanaburi,1,9999,750,750,2,1,4
BuriramSugar2,BuriRam,1,9999,750,750,2,1,4
Ponthong1,Kalasin,1,9999,750,750,2,1,4
KalasinMill1,Kalasin,1,9999,750,750,2,1,4
RoiEtMill1,RoiEt,1,9999,750,750,2,1,4
MukdahanSaharuang2,Mukdahan,1,9999,750,750,2,1,4
MitrBiopowerChaiyaphum2,Phon,1,9999,750,750,2,1,4
MitrBiopowerChaiyaphum3,Phon,1,9999,750,750,2,1,4
Lamphun1,Lamphun2,1,9999,750,750,2,1,4
MweMaewongEnergy1,NakhonSawan,1,9999,750,750,2,1,4
ThaLuangSugarFactory4,LopBuri1,1,9999,750,750,2,1,4
MungcharoenBiomass1,Surin,1,9999,750,750,2,1,4
KumphawapiSugarMill2,UdonThani1,1,9999,750,750,2,1,4
SriChiangMai1,NongKhai,1,9999,750,750,2,1,4
Sumrong1,UbonRatchathani1,1,9999,750,750,2,1,4
YalaGreen1,Yala,1,9999,750,750,2,1,4
KamphaengphetMill2,Kamphaengphet,1,9999,750,750,2,1,4
